upc,price,quantity,internal_id,department,name,properties,tags
012000071744,2.13,.00000000,,Soda,Orange Dole,"{""department"": ""Soda"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
012086312014,16.04,.00000000,,WINE,Macon Villages Joseph Drouhin,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
018200200595,19.61,.00000000,,BEER,Ultra 16oz Miclob Ultra,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
018200202087,17.43,.00000000,,BEER,BL Seltzer 12pk Bud Light,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
018200202100,16.99,.00000000,,BEER,Bud Light Varitey Bud Light,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
018200202179,17.11,.00000000,,BEER,strawberry selt Bud Light,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
018200240010,11.98,.00000000,,BEER,stella cider NULL,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
018200260636,3.21,.00000000,,BEER,Bud Light Seltzer 25oz Bud Light,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}","['duplicate_sku', 'high_margin']"
018200260636,3.21,.00000000,,BEER,Bud Light Seltzer 25oz Bud Light,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}","['duplicate_sku', 'high_margin']"
031259004327,16.04,.00000000,,WINE,Josh Bour Barrel Cab Sav,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
033544000434,18.18,.00000000,,BEER,Corona seltzer 12oz 12pk,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
040232502132,17.11,.00000000,,BEER,Mighty Squirel Mango Lassi 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""Atlantic"", ""description"": ""NULL""}",['high_margin']
049000081374,2.67,.00000000,,Soda,Energy Coke,"{""department"": ""Soda"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
051497123413,14.97,.00000000,,BEER,Dear Mack Mighty Squirrel,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
051497123420,14.97,.00000000,,BEER,Mighty Squirrel Dear Bubba 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""Atlantic"", ""description"": ""NULL""}",['high_margin']
070137000181,7.48,.00000000,,TOBACCO,Black & Mild Black Mild,"{""department"": ""TOBACCO"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
071537020045,2.03,.00000000,,Soda,Club Soda Polar,"{""department"": ""Soda"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
071990095277,20.7,.00000000,,BEER,Coors 15pk Pint Coors Light,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
071990095925,17.11,.00000000,,BEER,Light Sky 12pk BlueMoon,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
071990300692,14.81,.00000000,,BEER,Coors Light 12 x 12oz Glass,"{""department"": ""BEER"", ""vendor"": ""9787772213"", ""description"": ""NULL""}",['low_margin']
07199840,8.55,.00000000,,BEER,Coors Light 6 x 12oz Can,"{""department"": ""BEER"", ""vendor"": """", ""description"": ""NULL""}",['high_margin']
072890001528,25.06,.00000000,,BEER,Heineken 18pk Heineken,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
076452351236,12.83,.00000000,,TOBACCO,CHURCHIL ROMEO Y JULIETA,"{""department"": ""TOBACCO"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
076622775305,4.01,.00000000,,TOBACCO,Quorum Quorum,"{""department"": ""TOBACCO"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
080480005221,42.79,.00000000,,LIQUOR,Dewars 15yr Scotch,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
080480230074,1.87,.00000000,,LIQUOR,Dewars 50ml Scotch,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
080480231033,17.11,.00000000,,LIQUOR,Dewars 12 Yrs 375ml Scotch,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
080660954080,25.07,.00000000,,BEER,24pk Corona 7oz Corona,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
080660956831,4.28,.00000000,,BEER,Familiar 40oz Corona,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
080660957852,11.76,.00000000,,BEER,Negra 6pk Modelo,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
080667223493,13.9,.00000000,,WINE,Pinot Noir Poppy Hill,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
081308003566,14.97,.00000000,,WINE,Pinot Noir Chloe,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
081308003733,14.97,.00000000,,WINE,Prosecco Chloe,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
081308004532,13.9,.00000000,,WINE,Cab Sauv Chloe,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
082000003960,15.25,.00000000,,LIQUOR,Raspberry Smirnoff,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
082000790815,14.97,.00000000,,LIQUOR,Straw&Rose Smirnoff,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
082000792567,10.89,.00000000,,BEER,RWB 6pk Smirnoff,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
082184002094,53.49,.00000000,,LIQUOR,Single barrel Rye Jack Dan,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
082184090442,32.09,.00000000,,LIQUOR,Jack dan 1lt Jack Daniels,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
082242015691,19.61,.00000000,,WINE,Butter Chard Night Hawk,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
083783110098,11.76,.00000000,,BEER,Hazy 6pk Sierra nevada,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
083783222005,19.25,.00000000,,BEER,Pale Ale 12pk Sierra Nevada,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
083783228564,16.04,.00000000,,BEER,Fantastic Haze IPA Sierra Nevada,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
083820104035,18.18,.00000000,,BEER,Draught 12pk Blt Guissess,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
083820234800,3.21,.00000000,,BEER,Xtra Stout 22oz Guinnes,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
083820234824,18.18,.00000000,,BEER,Guinness 12pk Extra Stout,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
085000019658,10.69,.00000000,,WINE,Pink Moscato Champ Barefoot,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
085000026274,10.69,.00000000,,BEER,Grapefruit High Noon,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
085000029251,10.69,.00000000,,BEER,Watermelon High Noon,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
085000029268,10.69,.00000000,,BEER,Pineapple High Noon,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
085000029275,10.69,.00000000,,BEER,Black Cherry High Noon,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
085000029862,30.51,.00000000,,BEER,H noon 12pk High Noon,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
085000031513,21.39,.00000000,,LIQUOR,Hard Seltzer High Noon,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
085000248799,11.76,.00000000,,WINE,Brut 4pk Barefoot,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
0852411007969,16.04,.00000000,,WINE,Pinot Noir Life Vine,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
086003820746,10.69,.00000000,,WINE,Chard Rum Barrel Woodbridge,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
086003820753,10.69,.00000000,,WINE,RM Bourbon Cab RM,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
087236001216,28.33,.00000000,,LIQUOR,Remy 375ml Remy Martin,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
087236565206,23.53,.00000000,,LIQUOR,Cointreau 375ml Cointreau,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
087692000839,18.52,.00000000,,BEER,Angry Orchard12pk Cider,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
087692004202,10.89,.00000000,,BEER,Truly Grapefruit 6 x 12oz,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",['low_margin']
087692007883,18.08,.00000000,,BEER,Sam NE IPA12pk Sam Adams,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
087692009658,10.89,.00000000,,BEER,Truly Pineapple 6 x 12oz,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",['low_margin']
087692009894,10.89,.00000000,,BEER,Truly Watermelon & Kiwi 6 x 12oz,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",['low_margin']
08787638,10.69,.00000000,,BEER,Light Sky 6pk Blue Moon,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
088004028244,5.34,.00000000,,LIQUOR,Sea Ice 375ml Vodka,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
088076183728,32.09,.00000000,,LIQUOR,Summer watermelon Ciroc,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
088110931032,40.32,.00000000,,LIQUOR,Grand Marnier Liqueur,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
088320002089,17.11,.00000000,,WINE,The Palm Whispering,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
088415780557,21.39,.00000000,,WINE,Simi Cab Sav Simi,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
089475501199,17.11,.00000000,,WINE,Cantina Zaccagnini Pinot Grigio,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
089924770145,9.62,.00000000,,BEER,Flight yuengling,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
096749021147,24.6,.00000000,,LIQUOR,Evan william 1.75 Bourbon,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
099988071751,10.69,.00000000,,WINE,Menage 3pk Menage a Trois,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
100000,0.0,.00000000,,BEER,NSB Santilli (6) 4 x 16oz C,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
100013,0.0,.00000000,,BEER,NSB One Hop This Time (6) 4 x 16ox,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
100015,0.0,.00000000,,BEER,NSB The 87 (6) 4 x 16oz C,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
100017,0.0,.00000000,,BEER,NSB Whirlpool (6) 4 x 16ox C,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
100189,0.0,.00000000,,BEER,Pipeworks Ninja v Unicorn DIPA (6) 4 x 16oz C,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
,0.0,.00000000,biz_id_1595,BEER,Pipeworks Pineapple Guppy Case (6) 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
,0.0,.00000000,biz_id_1596,BEER,NSB Santilli 12PKS (2) 12 x 12oz C,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
,0.0,.00000000,biz_id_1601,BEER,Mast Landing S&L (6) 4 x 16oz C,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
,0.0,.00000000,biz_id_1602,BEER,NSB Fluffinity (6) 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
,0.0,.00000000,biz_id_1608,BEER,Destihl Synchopathic (4) 6 x 12oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
,0.0,.00000000,biz_id_1614,BEER,Mast Landing Gunner's Daughter (6) 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
50001147002,17.11,.00000000,,BEER,Amber Ale Lawson,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
,0.0,.00000000,biz_id_1622,BEER,Mast Landing DDH Tell Tale (6) 4 x 16oz C,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
602938319133,19.25,.00000000,,BEER,Hair Raiser Exhibit A,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
602938319140,16.25,.00000000,,BEER,Meow NE IPA Exhibit A,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
603675104822,12.83,.00000000,,BEER,Allagash Tripel Allagash,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
611269108026,8.76,.00000000,,Soda,Red Bull 4pk All 4pk,"{""department"": ""Soda"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
613103066394,16.04,.00000000,,BEER,Hoedown Kolsch Funky Bow,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
616003112161,6.41,.00000000,,Soda,Sweet & Sour Zing Zang,"{""department"": ""Soda"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
616003945219,6.41,.00000000,,Soda,Margarita Mix Zing Zang,"{""department"": ""Soda"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
635985260868,10.69,.00000000,,BEER,Mango 6pk White Claw,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
635985800064,18.08,.00000000,,BEER,Variety No2 White Claw,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
636251740947,21.35,.00000000,,BEER,Stone IPA West Coast 12 x 12oz C,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",['low_margin']
636251742040,21.35,.00000000,,BEER,Stone Delicious IPA 12 x 12oz C,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",['low_margin']
636251743542,12.83,.00000000,,BEER,Delicious IPA Stone,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
637704071137,14.97,.00000000,,BEER,Nugget Nectar Troges,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
637704901007,16.04,.00000000,,BEER,Lollihop Troges,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
640901189246,13.9,.00000000,,BEER,Pipeworks Ninja vs Unicorn 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['high_margin']
641076983004,10.69,.00000000,,BEER,Pipeworks Pineapple Guppy 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['high_margin']
644216252503,18.18,.00000000,,BEER,Female Lead Night Shift,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
644216259502,10.69,.00000000,,BEER,santili 6pk Night Shift,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
644216259601,19.89,.00000000,,BEER,NSB Santilli 12 x 12oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['high_margin']
644216260904,16.25,.00000000,,BEER,NSB Fluffinity 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['high_margin']
644216262304,17.11,.00000000,,BEER,Owl vs unicorn Night shift,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
